day,month,year,air_temperature,wind_speed,wind_direction,pollutant_concentration,,,,,,,,,,,
6,1,0,-2.1000000000000001,1.5,314.89999999999998,20.998670000000001,,,,,,,,,,,
6,1,1,-2.8999999999999999,2.1000000000000001,318.69999999999999,26.719650000000001,,,,,,,,,,,
6,1,2,-3.6000000000000001,1.8999999999999999,310.80000000000001,21.01699,,,,,,,,,,,
6,1,3,-4,2,309.30000000000001,26.59591,,,,,,,,,,,
6,1,4,-4.5,2,300.39999999999998,27.384530000000002,,,,,,,,,,,
6,1,5,-4.9000000000000004,1.8,291.5,23.7544,,,,,,,,,,,
6,1,6,-5.2000000000000002,1.8999999999999999,284.5,24.153030000000001,,,,,,,,,,,
6,1,7,-5.5,1.8,277.10000000000002,28.08053,,,,,,,,,,,
6,1,8,-5.2000000000000002,1.8,280.60000000000002,29.030619999999999,,,,,,,,,,,
6,1,9,-3.1000000000000001,1.3999999999999999,294.60000000000002,34.717770000000002,,,,,,,,,,,
6,1,10,-1,1.2,285.80000000000001,36.02664,,,,,,,,,,,
6,1,11,-0.20000000000000001,1.3,264.5,37.11468,,,,,,,,,,,
6,1,12,0.20000000000000001,1.6000000000000001,291.80000000000001,36.638420000000004,,,,,,,,,,,
6,1,13,0.40000000000000002,1.7,299.39999999999998,40.159309999999998,,,,,,,,,,,
6,1,14,0.69999999999999996,1.6000000000000001,303.30000000000001,39.55836,,,,,,,,,,,
6,1,15,1.1000000000000001,1.5,301.19999999999999,38.07461,,,,,,,,,,,
6,1,16,1.5,1.7,311,43.946269999999998,,,,,,,,,,,
6,1,17,2.1000000000000001,2.1000000000000001,332.60000000000002,41.714039999999997,,,,,,,,,,,
6,1,18,2.5,2,336.60000000000002,39.324750000000002,,,,,,,,,,,
6,1,19,2.8999999999999999,2,337.80000000000001,33.295819999999999,,,,,,,,,,,
6,1,20,3.2999999999999998,2.1000000000000001,339.89999999999998,25.814540000000001,,,,,,,,,,,
6,1,21,3.7000000000000002,2.5,351.89999999999998,16.020340000000001,,,,,,,,,,,
6,1,22,3.7000000000000002,2.2999999999999998,353,11.995509999999999,,,,,,,,,,,
6,1,23,4,3,357.39999999999998,15.247030000000001,,,,,,,,,,,
7,1,0,1.7,2.8999999999999999,350.30000000000001,9.7640100000000007,,,,,,,,,,,
7,1,1,2.2999999999999998,3.7000000000000002,4.5,9.0112299999999994,,,,,,,,,,,
7,1,2,2.3999999999999999,3.2999999999999998,353.10000000000002,7.3543200000000004,,,,,,,,,,,
7,1,3,2.5,3.2999999999999998,357,10.743499999999999,,,,,,,,,,,
7,1,4,2.3999999999999999,3.2000000000000002,358.19999999999999,8.3252000000000006,,,,,,,,,,,
7,1,5,2.2999999999999998,3.1000000000000001,1.1000000000000001,11.29243,,,,,,,,,,,
7,1,6,2.3999999999999999,3.2000000000000002,359.89999999999998,11.92942,,,,,,,,,,,
7,1,7,2.2000000000000002,3.1000000000000001,1.1000000000000001,18.069610000000001,,,,,,,,,,,
7,1,8,2.1000000000000001,2.8999999999999999,0.59999999999999998,41.98686,,,,,,,,,,,
7,1,9,2,2.7000000000000002,1.3,22.009399999999999,,,,,,,,,,,
7,1,10,2.2000000000000002,2.2999999999999998,353.19999999999999,27.63345,,,,,,,,,,,
7,1,11,2.3999999999999999,2.2000000000000002,348.89999999999998,24.505520000000001,,,,,,,,,,,
7,1,12,2.2000000000000002,1.8999999999999999,340.19999999999999,21.29982,,,,,,,,,,,
7,1,13,2.5,1.8999999999999999,344.60000000000002,19.586569999999998,,,,,,,,,,,
7,1,14,2.2999999999999998,1.8999999999999999,339.5,23.170349999999999,,,,,,,,,,,
7,1,15,0.5,2.2000000000000002,335,30.56174,,,,,,,,,,,
7,1,16,-0.59999999999999998,2.2000000000000002,337.69999999999999,33.588749999999997,,,,,,,,,,,
7,1,17,-1.3999999999999999,2.1000000000000001,341.10000000000002,40.354289999999999,,,,,,,,,,,
7,1,18,-1.7,2.2999999999999998,349.5,43.222340000000003,,,,,,,,,,,
7,1,19,-2,2.3999999999999999,354.5,44.587139999999998,,,,,,,,,,,
7,1,20,-2.1000000000000001,2.6000000000000001,359.30000000000001,40.094610000000003,,,,,,,,,,,
7,1,21,-2.2999999999999998,2.2000000000000002,6.4000000000000004,31.698440000000002,,,,,,,,,,,
7,1,22,-2.6000000000000001,2.2999999999999998,1,33.513260000000002,,,,,,,,,,,
7,1,23,-2.3999999999999999,2.5,2.6000000000000001,20.17201,,,,,,,,,,,
1,1,0,-0.80000000000000004,2,13.699999999999999,21.845120000000001,,,,,,,,,,,
1,1,1,-1.6000000000000001,2.2000000000000002,4.5999999999999996,10.431789999999999,,,,,,,,,,,
1,1,2,-1.8,2.3999999999999999,11.300000000000001,6.4224100000000002,,,,,,,,,,,
1,1,3,-1.8999999999999999,2.5,11.699999999999999,8.6238399999999995,,,,,,,,,,,
1,1,4,-1.8,2.7000000000000002,12.300000000000001,15.00319,,,,,,,,,,,
1,1,5,-1.5,2.8999999999999999,14.300000000000001,10.973409999999999,,,,,,,,,,,
1,1,6,-1.1000000000000001,3.3999999999999999,16.399999999999999,14.17212,,,,,,,,,,,
1,1,7,-0.80000000000000004,3.3999999999999999,17.300000000000001,17.442329999999998,,,,,,,,,,,
1,1,8,-0.5,3.6000000000000001,21.100000000000001,14.73024,,,,,,,,,,,
1,1,9,0.69999999999999996,3.6000000000000001,34.700000000000003,16.471340000000001,,,,,,,,,,,
1,1,10,1.6000000000000001,3.3999999999999999,35.399999999999999,15.29332,,,,,,,,,,,
